"year","flights","origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype"
2001,22,"GB","SK","ESRA North-West","ESRA East","United Kingdom","Slovakia","internal"
2001,41,"RO","NO","ESRA East","ESRA North-West","Romania","Norway","internal"
2001,13,"AM","BG","Other Europe","ESRA East","Armenia","Bulgaria","internal"
2001,115,"BG","FI","ESRA East","ESRA North-West","Bulgaria","Finland","internal"
2001,7,"BG","BA","ESRA East","ESRA East","Bulgaria","Bosnia and Herzegovina","internal"
2001,35,"AL","GB","ESRA East","ESRA North-West","Albania","United Kingdom","internal"
2001,12,"SI","BG","ESRA East","ESRA East","Slovenia","Bulgaria","internal"
2001,6,"NO","UA","ESRA North-West","ESRA East","Norway","Ukraine","internal"
2001,2,"LU","BG","ESRA North-West","ESRA East","Luxembourg","Bulgaria","internal"
2001,28,"HR","SE","ESRA East","ESRA North-West","Croatia","Sweden","internal"
2001,8,"FI","AL","ESRA North-West","ESRA East","Finland","Albania","internal"
2001,3,"FO","LU","ESRA North-West","ESRA North-West","Faroe Islands","Luxembourg","internal"
2001,2,"SK","LV","ESRA East","Other Europe","Slovakia","Latvia","internal"
2001,6,"CY","GE","ESRA Mediterranean","Other Europe","Cyprus","Georgia","internal"
2001,12,"GB","BA","ESRA North-West","ESRA East","United Kingdom","Bosnia and Herzegovina","internal"
2001,15,"GR","EE","ESRA Mediterranean","Other Europe","Greece","Estonia","internal"
2001,42,"NO","RO","ESRA North-West","ESRA East","Norway","Romania","internal"
2001,3,"MT","GI","ESRA Mediterranean","Other Europe","Malta","Gibraltar","internal"
2001,1,"PL","BA","ESRA East","ESRA East","Poland","Bosnia and Herzegovina","internal"
2001,5,"BA","BE","ESRA East","ESRA North-West","Bosnia and Herzegovina","Belgium","internal"
2001,2,"MD","LV","ESRA East","Other Europe","Moldova, Republic of","Latvia","internal"
2001,24,"IE","SI","ESRA North-West","ESRA East","Ireland","Slovenia","internal"
2001,1,"CH","FO","ESRA North-West","ESRA North-West","Switzerland","Faroe Islands","internal"
2001,4,"EE","BE","Other Europe","ESRA North-West","Estonia","Belgium","internal"
2001,8,"PT","HR","ESRA Mediterranean","ESRA East","Portugal","Croatia","internal"
2001,5,"IE","LV","ESRA North-West","Other Europe","Ireland","Latvia","internal"
2001,1,"GE","MD","Other Europe","ESRA East","Georgia","Moldova, Republic of","internal"
2001,2,"LV","LU","Other Europe","ESRA North-West","Latvia","Luxembourg","internal"
2001,2,"MD","BE","ESRA East","ESRA North-West","Moldova, Republic of","Belgium","internal"
2001,1,"FO","FR","ESRA North-West","ESRA North-West","Faroe Islands","France","internal"
2001,1,"EE","PT","Other Europe","ESRA Mediterranean","Estonia","Portugal","internal"
2001,1,"LV","MT","Other Europe","ESRA Mediterranean","Latvia","Malta","internal"
2001,1,"LV","SK","Other Europe","ESRA East","Latvia","Slovakia","internal"
2001,3,"BE","EE","ESRA North-West","Other Europe","Belgium","Estonia","internal"
2002,58237,"GB","NL","ESRA North-West","ESRA North-West","United Kingdom","Netherlands","internal"
2002,3673,"NO","ES","ESRA North-West","ESRA Mediterranean","Norway","Spain","internal"
2002,5631,"AT","NL","ESRA North-West","ESRA North-West","Austria","Netherlands","internal"
2002,18884,"DK","NO","ESRA North-West","ESRA North-West","Denmark","Norway","internal"
2002,14885,"ES","NL","ESRA Mediterranean","ESRA North-West","Spain","Netherlands","internal"
2002,21281,"IE","IE","ESRA North-West","ESRA North-West","Ireland","Ireland","internal"
2002,17383,"FI","SE","ESRA North-West","ESRA North-West","Finland","Sweden","internal"
2002,24423,"NL","NL","ESRA North-West","ESRA North-West","Netherlands","Netherlands","internal"
2002,43705,"FR","ES","ESRA North-West","ESRA Mediterranean","France","Spain","internal"
2002,42651,"CH","DE","ESRA North-West","ESRA North-West","Switzerland","Germany","internal"
2002,6957,"TR","GB","ESRA Mediterranean","ESRA North-West","Turkey","United Kingdom","internal"
2002,3813,"GB","MT","ESRA North-West","ESRA Mediterranean","United Kingdom","Malta","internal"
2002,12400,"GB","SE","ESRA North-West","ESRA North-West","United Kingdom","Sweden","internal"
2002,14862,"NL","ES","ESRA North-West","ESRA Mediterranean","Netherlands","Spain","internal"
2002,62817,"GB","IE","ESRA North-West","ESRA North-West","United Kingdom","Ireland","internal"
2002,8940,"GR","IT","ESRA Mediterranean","ESRA Mediterranean","Greece","Italy","internal"
2002,3431,"PT","CH","ESRA Mediterranean","ESRA North-West","Portugal","Switzerland","internal"
2002,35477,"GB","IT","ESRA North-West","ESRA Mediterranean","United Kingdom","Italy","internal"
2002,2852,"SK","CZ","ESRA East","ESRA East","Slovakia","Czech Republic","internal"
2002,4756,"DK","NL","ESRA North-West","ESRA North-West","Denmark","Netherlands","internal"
2002,12339,"DE","PL","ESRA North-West","ESRA East","Germany","Poland","internal"
2002,14257,"DK","GB","ESRA North-West","ESRA North-West","Denmark","United Kingdom","internal"
2002,2340,"TR","IT","ESRA Mediterranean","ESRA Mediterranean","Turkey","Italy","internal"
2002,1234,"LV","SE","Other Europe","ESRA North-West","Latvia","Sweden","internal"
2002,14253,"GB","PT","ESRA North-West","ESRA Mediterranean","United Kingdom","Portugal","internal"
2002,14562,"FR","BE","ESRA North-West","ESRA North-West","France","Belgium","internal"
2002,3734,"LU","GB","ESRA North-West","ESRA North-West","Luxembourg","United Kingdom","internal"
2002,3071,"SE","CH","ESRA North-West","ESRA North-West","Sweden","Switzerland","internal"
2002,3457,"RO","IT","ESRA East","ESRA Mediterranean","Romania","Italy","internal"
2002,3297,"CZ","FR","ESRA East","ESRA North-West","Czech Republic","France","internal"
2002,12392,"PL","DE","ESRA East","ESRA North-West","Poland","Germany","internal"
2002,467,"PT","SE","ESRA Mediterranean","ESRA North-West","Portugal","Sweden","internal"
2002,16078,"BE","IT","ESRA North-West","ESRA Mediterranean","Belgium","Italy","internal"
2002,2054,"IE","IT","ESRA North-West","ESRA Mediterranean","Ireland","Italy","internal"
2002,3753,"DK","CH","ESRA North-West","ESRA North-West","Denmark","Switzerland","internal"
2002,4610,"SE","BE","ESRA North-West","ESRA North-West","Sweden","Belgium","internal"
2002,1124,"HR","GB","ESRA East","ESRA North-West","Croatia","United Kingdom","internal"
2002,656,"LT","SE","Other Europe","ESRA North-West","Lithuania","Sweden","internal"
2002,1144,"LV","FI","Other Europe","ESRA North-West","Latvia","Finland","internal"
2002,1511,"PL","SE","ESRA East","ESRA North-West","Poland","Sweden","internal"
2002,7128,"CH","NL","ESRA North-West","ESRA North-West","Switzerland","Netherlands","internal"
2002,1214,"CZ","DK","ESRA East","ESRA North-West","Czech Republic","Denmark","internal"
2002,1159,"FI","LV","ESRA North-West","Other Europe","Finland","Latvia","internal"
2002,1828,"FI","BE","ESRA North-West","ESRA North-West","Finland","Belgium","internal"
2002,2425,"ES","LU","ESRA Mediterranean","ESRA North-West","Spain","Luxembourg","internal"
2002,3201,"CH","GR","ESRA North-West","ESRA Mediterranean","Switzerland","Greece","internal"
2002,4777,"DE","LU","ESRA North-West","ESRA North-West","Germany","Luxembourg","internal"
2002,151,"MT","GR","ESRA Mediterranean","ESRA Mediterranean","Malta","Greece","internal"
2002,1173,"GR","PL","ESRA Mediterranean","ESRA East","Greece","Poland","internal"
2002,4924,"BE","DK","ESRA North-West","ESRA North-West","Belgium","Denmark","internal"
2002,1902,"CZ","ES","ESRA East","ESRA Mediterranean","Czech Republic","Spain","internal"
2002,9580,"SE","NO","ESRA North-West","ESRA North-West","Sweden","Norway","internal"
2002,1518,"PL","UA","ESRA East","ESRA East","Poland","Ukraine","internal"
2002,11279,"AT","CH","ESRA North-West","ESRA North-West","Austria","Switzerland","internal"
2002,711,"HU","BE","ESRA East","ESRA North-West","Hungary","Belgium","internal"
2002,21,"LV","LT","Other Europe","Other Europe","Latvia","Lithuania","internal"
2002,1205,"TR","GR","ESRA Mediterranean","ESRA Mediterranean","Turkey","Greece","internal"
2002,1910,"CZ","NL","ESRA East","ESRA North-West","Czech Republic","Netherlands","internal"
2002,870,"TR","ES","ESRA Mediterranean","ESRA Mediterranean","Turkey","Spain","internal"
2002,1767,"DK","LT","ESRA North-West","Other Europe","Denmark","Lithuania","internal"
2002,649,"FR","BG","ESRA North-West","ESRA East","France","Bulgaria","internal"
2002,2550,"DK","GR","ESRA North-West","ESRA Mediterranean","Denmark","Greece","internal"
2002,1800,"DE","MT","ESRA North-West","ESRA Mediterranean","Germany","Malta","internal"
2002,645,"FR","HR","ESRA North-West","ESRA East","France","Croatia","internal"
2002,3985,"PL","DK","ESRA East","ESRA North-West","Poland","Denmark","internal"
2002,562,"HU","UA","ESRA East","ESRA East","Hungary","Ukraine","internal"
2002,605,"PL","LV","ESRA East","Other Europe","Poland","Latvia","internal"
2002,699,"UA","FR","ESRA East","ESRA North-West","Ukraine","France","internal"
2002,1899,"FR","FI","ESRA North-West","ESRA North-West","France","Finland","internal"
2002,749,"PL","FI","ESRA East","ESRA North-West","Poland","Finland","internal"
2002,436,"AL","GR","ESRA East","ESRA Mediterranean","Albania","Greece","internal"
2002,15,"ES","BA","ESRA Mediterranean","ESRA East","Spain","Bosnia and Herzegovina","internal"
2002,755,"HU","FI","ESRA East","ESRA North-West","Hungary","Finland","internal"
2002,611,"CZ","FI","ESRA East","ESRA North-West","Czech Republic","Finland","internal"
2002,122,"FR","GE","ESRA North-West","Other Europe","France","Georgia","internal"
2002,132,"IT","MD","ESRA Mediterranean","ESRA East","Italy","Moldova, Republic of","internal"
2002,2389,"LU","ES","ESRA North-West","ESRA Mediterranean","Luxembourg","Spain","internal"
2002,675,"CZ","BG","ESRA East","ESRA East","Czech Republic","Bulgaria","internal"
2002,4870,"CZ","CZ","ESRA East","ESRA East","Czech Republic","Czech Republic","internal"
2002,427,"BG","PL","ESRA East","ESRA East","Bulgaria","Poland","internal"
2002,704,"IT","BG","ESRA Mediterranean","ESRA East","Italy","Bulgaria","internal"
2002,1524,"DK","TR","ESRA North-West","ESRA Mediterranean","Denmark","Turkey","internal"
2002,175,"CY","MD","ESRA Mediterranean","ESRA East","Cyprus","Moldova, Republic of","internal"
2002,646,"MD","RO","ESRA East","ESRA East","Moldova, Republic of","Romania","internal"
2002,495,"CH","AL","ESRA North-West","ESRA East","Switzerland","Albania","internal"
2002,13,"UA","SI","ESRA East","ESRA East","Ukraine","Slovenia","internal"
2002,204,"PL","CY","ESRA East","ESRA Mediterranean","Poland","Cyprus","internal"
2002,185,"MK","TR","ESRA East","ESRA Mediterranean","Macedonia, the former Yugoslav Republic of","Turkey","internal"
2002,310,"GB","EE","ESRA North-West","Other Europe","United Kingdom","Estonia","internal"
2002,30,"IE","BG","ESRA North-West","ESRA East","Ireland","Bulgaria","internal"
2002,22,"IT","LV","ESRA Mediterranean","Other Europe","Italy","Latvia","internal"
2002,492,"AL","TR","ESRA East","ESRA Mediterranean","Albania","Turkey","internal"
2002,852,"MT","FR","ESRA Mediterranean","ESRA North-West","Malta","France","internal"
2002,123,"GE","CZ","Other Europe","ESRA East","Georgia","Czech Republic","internal"
2002,211,"PT","FI","ESRA Mediterranean","ESRA North-West","Portugal","Finland","internal"
2002,309,"BE","LU","ESRA North-West","ESRA North-West","Belgium","Luxembourg","internal"
2002,267,"AL","BG","ESRA East","ESRA East","Albania","Bulgaria","internal"
2002,320,"EE","PL","Other Europe","ESRA East","Estonia","Poland","internal"
2002,75,"IE","LU","ESRA North-West","ESRA North-West","Ireland","Luxembourg","internal"
2002,49,"ES","HR","ESRA Mediterranean","ESRA East","Spain","Croatia","internal"
2002,261,"BG","AL","ESRA East","ESRA East","Bulgaria","Albania","internal"
2002,363,"LT","AT","Other Europe","ESRA North-West","Lithuania","Austria","internal"
2002,130,"TR","LU","ESRA Mediterranean","ESRA North-West","Turkey","Luxembourg","internal"
2002,95,"PL","PT","ESRA East","ESRA Mediterranean","Poland","Portugal","internal"
2002,6,"IT","GI","ESRA Mediterranean","Other Europe","Italy","Gibraltar","internal"
2002,134,"HU","HU","ESRA East","ESRA East","Hungary","Hungary","internal"
2002,305,"MT","CH","ESRA Mediterranean","ESRA North-West","Malta","Switzerland","internal"
2002,5,"BG","BA","ESRA East","ESRA East","Bulgaria","Bosnia and Herzegovina","internal"
2002,9,"UA","MK","ESRA East","ESRA East","Ukraine","Macedonia, the former Yugoslav Republic of","internal"
2002,14,"BA","ES","ESRA East","ESRA Mediterranean","Bosnia and Herzegovina","Spain","internal"
2002,17,"LU","IE","ESRA North-West","ESRA North-West","Luxembourg","Ireland","internal"
2002,69,"RO","DK","ESRA East","ESRA North-West","Romania","Denmark","internal"
2002,45,"RO","UA","ESRA East","ESRA East","Romania","Ukraine","internal"
2002,745,"GR","FI","ESRA Mediterranean","ESRA North-West","Greece","Finland","internal"
2002,67,"HU","MT","ESRA East","ESRA Mediterranean","Hungary","Malta","internal"
2002,16,"LU","FI","ESRA North-West","ESRA North-West","Luxembourg","Finland","internal"
2002,3,"MT","MK","ESRA Mediterranean","ESRA East","Malta","Macedonia, the former Yugoslav Republic of","internal"
2002,5,"MK","NO","ESRA East","ESRA North-West","Macedonia, the former Yugoslav Republic of","Norway","internal"
2002,163,"MT","IE","ESRA Mediterranean","ESRA North-West","Malta","Ireland","internal"
2002,22,"SI","HU","ESRA East","ESRA East","Slovenia","Hungary","internal"
2002,223,"DK","CY","ESRA North-West","ESRA Mediterranean","Denmark","Cyprus","internal"
2002,52,"IE","NO","ESRA North-West","ESRA North-West","Ireland","Norway","internal"
2002,219,"CY","DK","ESRA Mediterranean","ESRA North-West","Cyprus","Denmark","internal"
2002,5,"UA","PT","ESRA East","ESRA Mediterranean","Ukraine","Portugal","internal"
2002,2,"SI","LT","ESRA East","Other Europe","Slovenia","Lithuania","internal"
2002,19,"FR","EE","ESRA North-West","Other Europe","France","Estonia","internal"
2002,9,"LT","SK","Other Europe","ESRA East","Lithuania","Slovakia","internal"
2002,24,"LU","HU","ESRA North-West","ESRA East","Luxembourg","Hungary","internal"
2002,12,"HR","MT","ESRA East","ESRA Mediterranean","Croatia","Malta","internal"
2002,54,"MD","MD","ESRA East","ESRA East","Moldova, Republic of","Moldova, Republic of","internal"
2002,5,"SK","NO","ESRA East","ESRA North-West","Slovakia","Norway","internal"
2002,24,"LU","CZ","ESRA North-West","ESRA East","Luxembourg","Czech Republic","internal"
2002,195,"LU","GR","ESRA North-West","ESRA Mediterranean","Luxembourg","Greece","internal"
2002,2,"MK","IE","ESRA East","ESRA North-West","Macedonia, the former Yugoslav Republic of","Ireland","internal"
2002,35,"BG","HR","ESRA East","ESRA East","Bulgaria","Croatia","internal"
2002,4,"MD","SE","ESRA East","ESRA North-West","Moldova, Republic of","Sweden","internal"
2002,212,"AT","PT","ESRA North-West","ESRA Mediterranean","Austria","Portugal","internal"
2002,156,"MT","ES","ESRA Mediterranean","ESRA Mediterranean","Malta","Spain","internal"
2002,2,"PT","CY","ESRA Mediterranean","ESRA Mediterranean","Portugal","Cyprus","internal"
2002,1,"LU","AM","ESRA North-West","Other Europe","Luxembourg","Armenia","internal"
2002,1,"MD","MT","ESRA East","ESRA Mediterranean","Moldova, Republic of","Malta","internal"
2002,28,"ES","CY","ESRA Mediterranean","ESRA Mediterranean","Spain","Cyprus","internal"
2002,5,"AM","RO","Other Europe","ESRA East","Armenia","Romania","internal"
2002,82,"CY","SK","ESRA Mediterranean","ESRA East","Cyprus","Slovakia","internal"
2002,1,"MD","LT","ESRA East","Other Europe","Moldova, Republic of","Lithuania","internal"
2002,312,"SK","GR","ESRA East","ESRA Mediterranean","Slovakia","Greece","internal"
2002,150,"LV","TR","Other Europe","ESRA Mediterranean","Latvia","Turkey","internal"
2002,179,"SI","GR","ESRA East","ESRA Mediterranean","Slovenia","Greece","internal"
2002,41,"AM","BE","Other Europe","ESRA North-West","Armenia","Belgium","internal"
2002,8,"MK","RO","ESRA East","ESRA East","Macedonia, the former Yugoslav Republic of","Romania","internal"
2002,37,"MT","LU","ESRA Mediterranean","ESRA North-West","Malta","Luxembourg","internal"
2002,3,"LT","RO","Other Europe","ESRA East","Lithuania","Romania","internal"
2002,14,"AL","MK","ESRA East","ESRA East","Albania","Macedonia, the former Yugoslav Republic of","internal"
2002,5,"SI","LV","ESRA East","Other Europe","Slovenia","Latvia","internal"
2002,10,"MK","BE","ESRA East","ESRA North-West","Macedonia, the former Yugoslav Republic of","Belgium","internal"
2002,8,"LU","HR","ESRA North-West","ESRA East","Luxembourg","Croatia","internal"
2002,22,"SI","MT","ESRA East","ESRA Mediterranean","Slovenia","Malta","internal"
2002,7,"LU","NO","ESRA North-West","ESRA North-West","Luxembourg","Norway","internal"
2002,26,"SI","CY","ESRA East","ESRA Mediterranean","Slovenia","Cyprus","internal"
2002,4,"GB","AM","ESRA North-West","Other Europe","United Kingdom","Armenia","internal"
2002,13,"CY","EE","ESRA Mediterranean","Other Europe","Cyprus","Estonia","internal"
2002,6,"MK","CZ","ESRA East","ESRA East","Macedonia, the former Yugoslav Republic of","Czech Republic","internal"
2002,45,"GR","LT","ESRA Mediterranean","Other Europe","Greece","Lithuania","internal"
